"Programm";"Version";"Abrufdatum";"Plattform";"Bemerkung"
"7-Zip";"26.03";"16.06.2026 11:57";"Windows";"Quelle: 7-zip.org"
"Adobe Acrobat Reader";"26.002.21901";"16.06.2026 07:56";"Windows";"Quelle: Chocolatey"
"Adobe AIR";"51.3.3.1";"16.06.2026 13:39";"Windows";"Quelle: Chocolatey (Harman)"
"Affinity Suite";"3.3.0.4850";"16.06.2026 07:40";"Windows";"Quelle: Free-Codecs"
"Audacity";"4.0.0";"16.06.2026 09:01";"Windows";"Neu hinzugefügt via Dashboard"
"FFmpeg";"9.0.1";"12.05.2026 13:35";"Windows";"Neu hinzugefügt via Dashboard"
"Foxit PDF Reader";"2026.2.0.39747";"16.06..2026 14:59";"Windows";"Quelle: Chocolatey"
"GIMP";"3.2.6";"20.04.2026 10:30";"Windows";"Quelle: gimp.org API (Latest)"
"Google Chrome Enterprise";"153.0.8010.53";"16.06.2026 09:06";"Windows";"Stable Channel (Index 2)"
"Helbling Media App";"2.2.52";"16.06.2026 14:35";"Windows";"Quelle: File-Header (Partial Download)"
"Inkscape";"1.4.4";"16.06.2026 13:42";"Windows";"Quelle: inkscape.org"
"IrfanView";"4.76";"16.06.2026 10:19";"Windows";"Quelle: irfanview.com"
"Java 8";"8.503";"16.06.2026 14:24";"Windows";"Quelle: Oracle Cloud API"
"Lego Mindstorms EV3 Classroom";"1.5.3";"16.06.2026 14:34";"Windows";"Quelle: Apple App Store (Proxy)"
"Lego SPIKE App";"3.6.0";"16.06.2026 14:34";"Windows";"Quelle: Lego Education Release Notes"
"LYNX Whiteboard";"8.7.5.0";"16.06.2026 14:51";"Windows";"Quelle: Google Play Store"
"Minecraft Education";"1.26.3200.0";"16.06.2026 07:41";"Windows";"Quelle: aka.ms Redirect"
"Mozilla Firefox";"156.0";"16.06.2026 08:07";"Windows";"Stable Release (Official API)"
"MuseScore";"4.7.5";"16.06.2026 09:12";"Windows";"Quelle: GitHub API"
"Notepad++";"8.9.8";"16.06.2026 10:16";"Windows";"Neu hinzugefügt via Dashboard"
"OpenBoard";"1.7.7";"16.06.2026 07:18";"Windows";"Quelle: GitHub API"
"Paint.NET";"5.1.12";"16.06.2026 10:35";"Windows";"Quelle: Chocolatey"
"PDF24 Creator";"11.30.1";"16.06.2026 14:42";"Windows";"Offizieller Changelog"
"Shotcut";"26.8.1";"16.06.2026 15:41";"Windows";"Quelle: Chocolatey"
"SMART Notebook";"26.0.1137.1";"16.06.2026 14:04";"Windows";"Quelle: SMART Tech Updates"
"Sweet Home 3D";"7.5.0";"16.06.2026 14:34";"Windows";"Quelle: Chocolatey"
"VLC Media Player";"3.0.23";"16.06.2026 14:34";"Windows";"Quelle: Offizielle Download-Seite"
"Worksheet Crafter";"2026.2.5";"16.06.2026 10:48";"Windows";"Offizielle Download-Seite"
