"Programm";"Version";"Abrufdatum";"Plattform";"Bemerkung"
"7-Zip";"26.01";"29.04.2026 11:57";"Windows";"Quelle: 7-zip.org"
"Adobe Acrobat Reader";"26.001.21662";"10.06.2026 07:56";"Windows";"Quelle: Chocolatey"
"Adobe AIR";"51.3.3.1";"12.05.2026 13:39";"Windows";"Quelle: Chocolatey (Harman)"
"Affinity Suite";"3.2.2.4557";"16.06.2026 07:40";"Windows";"Quelle: Free-Codecs"
"Audacity";"3.7.8";"12.06.2026 09:01";"Windows";"Neu hinzugefügt via Dashboard"
"FFmpeg";"8.1.1";"12.05.2026 13:35";"Windows";"Neu hinzugefügt via Dashboard"
"Foxit PDF Reader";"2026.1.1.36485";"29.04.2026 14:59";"Windows";"Quelle: Chocolatey"
"GIMP";"3.2.4";"20.04.2026 10:30";"Windows";"Quelle: gimp.org API (Latest)"
"Google Chrome Enterprise";"149.0.7827.197";"12.06.2026 09:06";"Windows";"Stable Channel (Index 2)"
"Helbling Media App";"2.1.38";"12.01.2026 14:35";"Windows";"Quelle: File-Header (Partial Download)"
"Inkscape";"1.4.4";"12.05.2026 13:42";"Windows";"Quelle: inkscape.org"
"IrfanView";"4.75";"18.05.2026 10:19";"Windows";"Quelle: irfanview.com"
"Java 8";"8.491";"25.04.2026 14:24";"Windows";"Quelle: Oracle Cloud API"
"Lego Mindstorms EV3 Classroom";"1.5.3";"12.01.2026 14:34";"Windows";"Quelle: Apple App Store (Proxy)"
"Lego SPIKE App";"3.6.0";"12.01.2026 14:34";"Windows";"Quelle: Lego Education Release Notes"
"LYNX Whiteboard";"8.7.3.0";"28.03.2026 14:51";"Windows";"Quelle: Google Play Store"
"Minecraft Education";"1.21.13302.0";"04.05.2026 07:41";"Windows";"Quelle: aka.ms Redirect"
"Mozilla Firefox";"152.0.1";"10.06.2026 08:07";"Windows";"Stable Release (Official API)"
"MuseScore";"4.7.3";"12.06.2026 09:12";"Windows";"Quelle: GitHub API"
"Notepad++";"8.9.6.4";"08.06.2026 10:16";"Windows";"Neu hinzugefügt via Dashboard"
"OpenBoard";"1.7.7";"13.04.2026 07:18";"Windows";"Quelle: GitHub API"
"Paint.NET";"5.1.12";"09.03.2026 10:35";"Windows";"Quelle: Chocolatey"
"PDF24 Creator";"11.30.1";"22.04.2026 14:42";"Windows";"Offizieller Changelog"
"Shotcut";"26.4.30";"04.05.2026 15:41";"Windows";"Quelle: Chocolatey"
"SMART Notebook";"26.0.1078.0";"26.05.2026 14:04";"Windows";"Quelle: SMART Tech Updates"
"Sweet Home 3D";"7.5.0";"12.01.2026 14:34";"Windows";"Quelle: Chocolatey"
"VLC Media Player";"3.0.23";"12.01.2026 14:34";"Windows";"Quelle: Offizielle Download-Seite"
"Worksheet Crafter";"2026.2.4";"08.06.2026 10:48";"Windows";"Offizielle Download-Seite"
